SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
42023,1630202,0042300304,2024-05-27,BOS @ IND,W,9,1,2,0.5,1,2,0.5,2,2,1.0,1,0,1,0,0,0,0,1,5,-9,1
42023,1630202,0042300303,2024-05-25,BOS @ IND,W,14,1,3,0.333,0,2,0.0,0,0,0.0,0,2,2,3,0,0,1,1,2,-8,1
42023,1630202,0042300302,2024-05-23,BOS vs. IND,W,19,4,6,0.667,2,2,1.0,2,2,1.0,1,1,2,2,0,0,1,1,12,4,1
42023,1630202,0042300301,2024-05-21,BOS vs. IND,W,23,3,4,0.75,2,3,0.667,0,0,0.0,0,0,0,2,0,0,0,1,8,-15,1
42023,1630202,0042300205,2024-05-15,BOS vs. CLE,W,21,4,7,0.571,3,4,0.75,0,0,0.0,0,1,1,0,0,0,0,0,11,-10,1
42023,1630202,0042300204,2024-05-13,BOS @ CLE,W,26,3,5,0.6,3,4,0.75,2,2,1.0,1,0,1,1,0,0,1,1,11,4,1
42023,1630202,0042300203,2024-05-11,BOS @ CLE,W,22,2,4,0.5,1,2,0.5,0,0,0.0,1,2,3,3,0,0,1,1,5,-4,1
42023,1630202,0042300202,2024-05-09,BOS vs. CLE,L,20,6,10,0.6,1,4,0.25,0,0,0.0,2,0,2,4,1,0,0,0,13,-4,1
42023,1630202,0042300201,2024-05-07,BOS vs. CLE,W,24,5,12,0.417,4,10,0.4,2,2,1.0,1,4,5,2,1,0,3,0,16,19,1
42023,1630202,0042300105,2024-05-01,BOS vs. MIA,W,27,2,8,0.25,0,3,0.0,3,4,0.75,0,3,3,3,0,0,1,1,7,19,1
42023,1630202,0042300104,2024-04-29,BOS @ MIA,W,18,0,4,0.0,0,1,0.0,0,0,0.0,2,0,2,3,1,0,1,1,0,10,1
42023,1630202,0042300103,2024-04-27,BOS @ MIA,W,25,3,5,0.6,1,2,0.5,0,0,0.0,2,1,3,1,0,0,2,3,7,6,1
42023,1630202,0042300102,2024-04-24,BOS vs. MIA,L,20,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,3,0,0,0,4,0,-5,1
42023,1630202,0042300101,2024-04-21,BOS vs. MIA,W,24,3,7,0.429,2,5,0.4,0,0,0.0,1,3,4,5,0,0,0,1,8,19,1
22023,1630202,0022301186,2024-04-14,BOS vs. WAS,W,44,15,21,0.714,4,6,0.667,4,4,1.0,1,8,9,12,0,0,2,3,38,13,1
22023,1630202,0022301173,2024-04-12,BOS vs. CHA,W,31,14,22,0.636,3,8,0.375,0,0,0.0,0,3,3,11,1,0,2,2,31,15,1
22023,1630202,0022301167,2024-04-11,BOS vs. NYK,L,21,7,13,0.538,2,4,0.5,0,0,0.0,2,2,4,6,0,0,0,0,16,22,1
22023,1630202,0022301148,2024-04-09,BOS @ MIL,L,24,2,9,0.222,2,8,0.25,0,0,0.0,0,2,2,3,1,0,1,0,6,1,1
22023,1630202,0022301134,2024-04-07,BOS vs. POR,W,26,9,13,0.692,2,4,0.5,0,0,0.0,0,3,3,8,1,0,2,1,20,19,1
22023,1630202,0022301118,2024-04-05,BOS vs. SAC,W,33,8,16,0.5,5,10,0.5,0,0,0.0,1,0,1,3,2,0,1,3,21,2,1
